geo_id,year,deped_id,water,electricity,internet,computers,disability_infrastructure,sanitation_facilities,ss_sanitation_facilities,handwashing_facilities
NIG-001998,2014,ERWPZ,0,,,,,1,,
NIG-001999,2014,ETTIW,0,,,,,0,,
NIG-002000,2014,EMRAA,1,,,,,1,,
NIG-002001,2014,EVBEV,1,,,,,1,,
NIG-002002,2014,EARWI,1,,,,,1,,
NIG-002003,2014,EUWDW,0,,,,,1,,
NIG-002004,2014,EMCYR,1,,,,,1,,
NIG-002005,2014,EPCVA,1,,,,,0,,
NIG-002006,2014,EWIQT,0,,,,,0,,
NIG-002007,2014,EAQIG,0,,,,,0,,
NIG-002008,2014,EJSAZ,0,,,,,0,,
NIG-002009,2014,EMQHT,0,,,,,0,,
NIG-002010,2014,EDQKY,0,,,,,0,,
NIG-002011,2014,EWLAJ,0,,,,,0,,
NIG-002012,2014,EGQXG,1,,,,,1,,
NIG-002013,2014,EQDSS,1,,,,,1,,
NIG-002014,2014,EAQWL,1,,,,,1,,
NIG-002015,2014,EBPSA,1,,,,,1,,
NIG-002016,2014,EAZUX,1,,,,,1,,
NIG-002017,2014,EZSHA,0,,,,,1,,
NIG-002018,2014,EQYUE,1,,,,,1,,
NIG-002019,2014,EJTYU,1,,,,,1,,
NIG-002020,2014,EKDPE,0,,,,,1,,
NIG-002021,2014,EJRBJ,1,,,,,1,,
NIG-002022,2014,EIKOH,1,,,,,1,,
NIG-002023,2014,EKKWB,1,,,,,1,,
NIG-002024,2014,EZYFP,1,,,,,1,,
NIG-002025,2014,EAQNI,1,,,,,1,,
NIG-002026,2014,EIYDD,1,,,,,1,,
NIG-002027,2014,IGZHV,1,,,,,0,,
NIG-002028,2014,EDPHH,1,,,,,1,,
NIG-002029,2014,EWIOE,1,,,,,1,,
NIG-002030,2014,EHRZW,0,,,,,0,,
NIG-002031,2014,EQZSK,0,,,,,0,,
NIG-002032,2014,EYFPG,0,,,,,0,,
NIG-002033,2014,EJLQI,0,,,,,0,,
NIG-002034,2014,EACPE,1,,,,,1,,
NIG-002035,2014,EYTKA,0,,,,,0,,
NIG-002036,2014,ESMJT,0,,,,,1,,
NIG-002037,2014,ELVGR,1,,,,,1,,
NIG-002038,2014,EDADR,1,,,,,1,,
NIG-002039,2014,EVZQW,1,,,,,1,,
