geo_id,year,deped_id,water,internet,electricity,computers,disability_infrastructure,sanitation_facilities,ss_sanitation_facilities,handwashing_facilities
PRY-000426,2012,1007023,,0,,,,,,
PRY-000426,2012,1007023,,0,,,,,,
PRY-000427,2012,1007022,,0,,,,,,
PRY-000428,2012,1007021,,0,,,,,,
PRY-000429,2012,1007020,,0,,,,,,
PRY-000429,2012,1007020,,0,,,,,,
PRY-000430,2012,1007019,,0,,,,,,
PRY-000431,2012,1007018,,0,,,,,,
PRY-000432,2012,1007015,,0,,,,,,
PRY-000433,2012,1007014,,0,,,,,,
PRY-000433,2012,1007014,,0,,,,,,
PRY-000434,2012,1007013,,0,,,,,,
PRY-000435,2012,1007012,,0,,,,,,
PRY-000436,2012,1007011,,0,,,,,,
PRY-000437,2012,1007010,,0,,,,,,
PRY-000438,2012,1007009,,0,,,,,,
PRY-000439,2012,1007008,,0,,,,,,
PRY-000440,2012,1007007,,0,,,,,,
PRY-000441,2012,1007006,,0,,,,,,
PRY-000442,2012,1007005,,0,,,,,,
PRY-000443,2012,1007004,,0,,,,,,
PRY-000444,2012,1007003,,0,,,,,,
PRY-000445,2012,1007002,,,,,,,,
PRY-000445,2012,1007002,,0,,,,,,
PRY-000446,2012,1007001,,1,,,,,,
PRY-000447,2012,1010033,,0,,,,,,
PRY-000448,2012,1010034,,0,,,,,,
PRY-000449,2012,1010032,,0,,,,,,
PRY-000450,2012,1010023,,0,,,,,,
PRY-000451,2012,1010018,,0,,,,,,
PRY-000452,2012,1010017,,0,,,,,,
PRY-000453,2012,1010014,,0,,,,,,
PRY-000454,2012,1010013,,0,,,,,,
PRY-000455,2012,1010012,,0,,,,,,
PRY-000456,2012,1010011,,0,,,,,,
PRY-000457,2012,1010010,,0,,,,,,
PRY-000458,2012,1010009,,0,,,,,,
PRY-000459,2012,1010007,,0,,,,,,
PRY-000460,2012,1010006,,0,,,,,,
PRY-000461,2012,1010004,,0,,,,,,
PRY-000462,2012,1010003,,,,,,,,
PRY-000462,2012,1010003,,0,,,,,,
PRY-000462,2012,1010003,,0,,,,,,
PRY-000463,2012,1010001,,0,,,,,,
PRY-000463,2012,1010001,,0,,,,,,
PRY-000464,2012,1005067,,,,,,,,
PRY-000464,2012,1005067,,,,,,,,
PRY-000465,2012,1005065,,0,,,,,,
